index,id,title,type,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes
0,ts300399,Five Came Back: The Reference Films,SHOW,1945,TV-MA,48,documentary,US,1.0,,,
1,tm84618,Taxi Driver,MOVIE,1976,R,113,crime,US,,tt0075314,8.3,795222.0
2,tm84618,Taxi Driver,MOVIE,1976,R,113,drama,US,,tt0075314,8.3,795222.0
3,tm127384,Monty Python and the Holy Grail,MOVIE,1975,PG,91,comedy,GB,,tt0071853,8.2,530877.0
4,tm127384,Monty Python and the Holy Grail,MOVIE,1975,PG,91,fantasy,GB,,tt0071853,8.2,530877.0
5,tm70993,Life of Brian,MOVIE,1979,R,94,comedy,GB,,tt0079470,8.0,392419.0
6,tm190788,The Exorcist,MOVIE,1973,R,133,horror,US,,tt0070047,8.1,391942.0
7,ts22164,Monty Python's Flying Circus,SHOW,1969,TV-14,30,comedy,GB,4.0,tt0063929,8.8,72895.0
8,ts22164,Monty Python's Flying Circus,SHOW,1969,TV-14,30,european,GB,4.0,tt0063929,8.8,72895.0
9,tm14873,Dirty Harry,MOVIE,1971,R,102,thriller,US,,tt0066999,7.7,153463.0
10,tm14873,Dirty Harry,MOVIE,1971,R,102,crime,US,,tt0066999,7.7,153463.0
11,tm14873,Dirty Harry,MOVIE,1971,R,102,action,US,,tt0066999,7.7,153463.0
12,tm185072,My Fair Lady,MOVIE,1964,G,170,drama,US,,tt0058385,7.8,94121.0
13,tm185072,My Fair Lady,MOVIE,1964,G,170,music,US,,tt0058385,7.8,94121.0
14,tm185072,My Fair Lady,MOVIE,1964,G,170,romance,US,,tt0058385,7.8,94121.0
15,tm185072,My Fair Lady,MOVIE,1964,G,170,family,US,,tt0058385,7.8,94121.0
16,tm98978,The Blue Lagoon,MOVIE,1980,R,104,romance,US,,tt0080453,5.8,69053.0
17,tm98978,The Blue Lagoon,MOVIE,1980,R,104,drama,US,,tt0080453,5.8,69053.0
18,tm119281,Bonnie and Clyde,MOVIE,1967,R,110,drama,US,,tt0061418,7.7,111189.0
19,tm119281,Bonnie and Clyde,MOVIE,1967,R,110,crime,US,,tt0061418,7.7,111189.0
20,tm119281,Bonnie and Clyde,MOVIE,1967,R,110,action,US,,tt0061418,7.7,111189.0
21,tm67378,The Professionals,MOVIE,1966,PG-13,117,western,US,,tt0060862,7.3,16168.0
22,tm67378,The Professionals,MOVIE,1966,PG-13,117,action,US,,tt0060862,7.3,16168.0
23,tm67378,The Professionals,MOVIE,1966,PG-13,117,european,US,,tt0060862,7.3,16168.0
24,tm44204,The Guns of Navarone,MOVIE,1961,,158,war,US,,tt0054953,7.5,50150.0
25,tm44204,The Guns of Navarone,MOVIE,1961,,158,war,GB,,tt0054953,7.5,50150.0
26,tm44204,The Guns of Navarone,MOVIE,1961,,158,action,US,,tt0054953,7.5,50150.0
27,tm44204,The Guns of Navarone,MOVIE,1961,,158,action,GB,,tt0054953,7.5,50150.0
28,tm44204,The Guns of Navarone,MOVIE,1961,,158,drama,US,,tt0054953,7.5,50150.0
29,tm44204,The Guns of Navarone,MOVIE,1961,,158,drama,GB,,tt0054953,7.5,50150.0
30,tm69778,Lupin the Third: The Castle of Cagliostro,MOVIE,1979,PG,100,comedy,JP,,tt0079833,7.6,30277.0
31,tm69778,Lupin the Third: The Castle of Cagliostro,MOVIE,1979,PG,100,animation,JP,,tt0079833,7.6,30277.0
32,tm69778,Lupin the Third: The Castle of Cagliostro,MOVIE,1979,PG,100,action,JP,,tt0079833,7.6,30277.0
33,tm69778,Lupin the Third: The Castle of Cagliostro,MOVIE,1979,PG,100,fantasy,JP,,tt0079833,7.6,30277.0
34,tm69778,Lupin the Third: The Castle of Cagliostro,MOVIE,1979,PG,100,family,JP,,tt0079833,7.6,30277.0
35,tm69997,Richard Pryor: Live in Concert,MOVIE,1979,R,78,comedy,US,,tt0079807,8.1,5141.0
36,tm69997,Richard Pryor: Live in Concert,MOVIE,1979,R,78,documentary,US,,tt0079807,8.1,5141.0
37,tm96649,The Long Riders,MOVIE,1980,R,99,western,US,,tt0081071,6.9,11329.0
38,tm96649,The Long Riders,MOVIE,1980,R,99,crime,US,,tt0081071,6.9,11329.0
39,tm16479,White Christmas,MOVIE,1954,,115,romance,US,,tt0047673,7.5,42373.0
40,tm16479,White Christmas,MOVIE,1954,,115,comedy,US,,tt0047673,7.5,42373.0
41,tm16479,White Christmas,MOVIE,1954,,115,music,US,,tt0047673,7.5,42373.0
42,tm135083,Cairo Station,MOVIE,1958,,77,drama,EG,,tt0051390,7.5,4385.0
43,tm135083,Cairo Station,MOVIE,1958,,77,crime,EG,,tt0051390,7.5,4385.0
44,tm135083,Cairo Station,MOVIE,1958,,77,comedy,EG,,tt0051390,7.5,4385.0
45,tm14491,The Queen,MOVIE,1968,,68,documentary,US,,tt0183686,7.2,1117.0
46,tm89386,Hitler: A Career,MOVIE,1977,PG,150,documentary,DE,,tt0191182,7.5,2416.0
47,tm89386,Hitler: A Career,MOVIE,1977,PG,150,history,DE,,tt0191182,7.5,2416.0
48,tm89386,Hitler: A Career,MOVIE,1977,PG,150,european,DE,,tt0191182,7.5,2416.0
49,tm156453,FTA,MOVIE,1972,R,97,comedy,US,,tt0068562,6.2,411.0
50,tm156453,FTA,MOVIE,1972,R,97,documentary,US,,tt0068562,6.2,411.0
51,tm156453,FTA,MOVIE,1972,R,97,music,US,,tt0068562,6.2,411.0
52,tm27298,Saladin the Victorious,MOVIE,1963,,186,drama,EG,,tt0057357,7.6,2470.0
53,tm27298,Saladin the Victorious,MOVIE,1963,,186,war,EG,,tt0057357,7.6,2470.0
54,tm27298,Saladin the Victorious,MOVIE,1963,,186,action,EG,,tt0057357,7.6,2470.0
55,tm27298,Saladin the Victorious,MOVIE,1963,,186,history,EG,,tt0057357,7.6,2470.0
56,tm27298,Saladin the Victorious,MOVIE,1963,,186,romance,EG,,tt0057357,7.6,2470.0
57,tm356209,Singapore,MOVIE,1960,,158,drama,IN,,tt0268639,6.4,82.0
58,tm356209,Singapore,MOVIE,1960,,158,thriller,IN,,tt0268639,6.4,82.0
59,tm356209,Singapore,MOVIE,1960,,158,crime,IN,,tt0268639,6.4,82.0
60,tm204541,Dark Waters,MOVIE,1956,,120,drama,EG,,tt0049761,6.7,590.0
61,tm204541,Dark Waters,MOVIE,1956,,120,action,EG,,tt0049761,6.7,590.0
62,tm204541,Dark Waters,MOVIE,1956,,120,romance,EG,,tt0049761,6.7,590.0
63,tm204541,Dark Waters,MOVIE,1956,,120,thriller,EG,,tt0049761,6.7,590.0
64,tm14350,Alexandria… Why?,MOVIE,1979,,133,drama,EG,,tt0077751,7.2,1689.0
65,tm102287,Raya and Sakina,MOVIE,1953,,105,drama,EG,,tt0316472,6.8,231.0
66,tm102287,Raya and Sakina,MOVIE,1953,,105,thriller,EG,,tt0316472,6.8,231.0
67,tm102287,Raya and Sakina,MOVIE,1953,,105,crime,EG,,tt0316472,6.8,231.0
68,tm102287,Raya and Sakina,MOVIE,1953,,105,history,EG,,tt0316472,6.8,231.0
69,tm76557,No Longer Kids,MOVIE,1979,,235,comedy,EG,,tt8312792,9.0,943.0
70,tm76557,No Longer Kids,MOVIE,1979,,235,drama,EG,,tt8312792,9.0,943.0
71,tm71909,Amrapali,MOVIE,1966,,120,fantasy,IN,,tt0060104,6.7,225.0
72,tm94651,Dostana,MOVIE,1980,,161,drama,IN,,tt0080653,2.1,25.0
73,tm94651,Dostana,MOVIE,1980,,161,comedy,IN,,tt0080653,2.1,25.0
74,tm94651,Dostana,MOVIE,1980,,161,romance,IN,,tt0080653,2.1,25.0
75,tm94651,Dostana,MOVIE,1980,,161,action,IN,,tt0080653,2.1,25.0
76,tm94651,Dostana,MOVIE,1980,,161,crime,IN,,tt0080653,2.1,25.0
77,tm19608,The Blazing Sun,MOVIE,1954,,100,romance,EG,,tt0044429,7.4,1219.0
78,tm19608,The Blazing Sun,MOVIE,1954,,100,crime,EG,,tt0044429,7.4,1219.0
79,tm19608,The Blazing Sun,MOVIE,1954,,100,drama,EG,,tt0044429,7.4,1219.0
80,ts45948,Monty Python's Fliegender Zirkus,SHOW,1972,TV-MA,43,comedy,,1.0,tt0202477,8.1,2144.0
81,tm90896,The Return of the Prodigal Son,MOVIE,1976,,124,drama,DZ,,tt0074168,7.2,768.0
82,tm90896,The Return of the Prodigal Son,MOVIE,1976,,124,drama,EG,,tt0074168,7.2,768.0
83,tm90896,The Return of the Prodigal Son,MOVIE,1976,,124,crime,DZ,,tt0074168,7.2,768.0
84,tm90896,The Return of the Prodigal Son,MOVIE,1976,,124,crime,EG,,tt0074168,7.2,768.0
85,tm75975,Prince,MOVIE,1969,,152,romance,IN,,tt0064842,6.9,168.0
86,tm97793,Lock Your Girls In,MOVIE,1980,,230,comedy,EG,,,,
87,tm85426,The Witness Who Didn't See Anything,MOVIE,1976,,217,comedy,EG,,,,
